"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cutoff_substances,screening_eng,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">In the past year</span>, have you excessively used any of these substances?</p> <ul> <li>Alcohol <span style=""color: #7e8c8d;"">(drinking more than 5 beers or 10 shots on most weeks)</span></li> <li>Nicotine <span style=""color: #7e8c8d;"">(smoking more than 5 cigarettes on most days)</span></li> <li>Cannabis<span style=""color: #7e8c8d;""> (consuming on most days / negative consequences in daily life / withdrawal symptoms)</span></li> <li>Prescription drugs <span style=""color: #7e8c8d;"">(using in a higher quantity or for a longer time than prescribed by doctors / withdrawal symptoms)</span></li> <li>Other illicit drugs <span style=""color: #7e8c8d;"">(consumption of any illicit drug on most months)</span></li> </ul></div>","1, Yes | 2, Maybe | 3, No",,,,,,,y,,,,,
cutoff_substances_extra,screening_eng,,text,"Please specify:",,,,,,,"[cutoff_substances] = '2'",y,,,,,
exclusion_confirm,screening_eng,,radio,"<div class=""rich-text-field-label""><p>Please double-check: Have you correctly chosen the options that apply to you?</p></div>","0, Yes",,,,,,"[cutoff_age] = '0' or [cutoff_colour] = '1' or [cutoff_neuro] = '1' or [cutoff_sleep] = '1' or [cutoff_psych] = '1' or [cutoff_substances] = '1'",y,,,,,
shift_work,screening_eng,"<div class=""rich-text-field-label""><h5>Your Chronotype</h5> <p><span style=""font-weight: normal; color: #7e8c8d;""><em>Munich ChronoType Questionnaire (µMCTQ)</em> </span></p> <p><span style=""font-weight: normal;"">The following section will ask you questions in regards to your sleep and wake behaviour on work- and work-free days. Please estimate an average of your 'normal' sleep behaviour over the past 6 weeks.</span></p></div>",yesno,"I have been a shift- or night-worker in the past three months:",,,,,,,,y,,,,,
nr_workdays,screening_eng,,dropdown,"Normally, I work ___ days / week:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7",,,,,,,y,,,,,
desc_txt,screening_eng,,descriptive,"Please answer all the following questions even if you do not work, or work 7 days / week.
Use the 24-hour format (e.g., 23:00 instead of 11 PM).",,,,,,,,,,,,,
fall_asleep_work,screening_eng,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On workdays</span>, I normally fall asleep at:</p></div>",,"This is NOT when you get into bed, but rather when you fall asleep",time,,,,,y,,,,,
wake_up_work,screening_eng,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On workdays</span>, I normally wake up at:</p></div>",,"This is NOT when you get out of bed, but rather when you wake up",time,,,,,y,,,,,
fall_asleep_free,screening_eng,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On work-free days</span>, when I DON'T use an alarm clock, I normally fall asleep at:</p></div>",,"This is NOT when you get into bed, but rather when you fall asleep",time,,,,,y,,,,,
wake_up_free,screening_eng,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On work-free days</span>, when I DON'T use an alarm clock, I normally wake up at:</p></div>",,"This is NOT when you get out of bed, but rather when you wake up",time,,,,,y,,,,,
alarm_free_days,screening_eng,,yesno,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On MOST work-free days</span>, do you use an alarm clock?</p></div>",,,,,,,,y,,,,,
name,screening_eng,"<div class=""rich-text-field-label""><h5>Thank you for your answers.</h5> <p><span style=""font-weight: normal;"">Based on the information you provided, we will check if you are eligible to participate.</span></p> <p><span style=""font-weight: normal;"">To be enrolled as a participant, please fill in:</span></p></div>",text,"Your full name",,,,,,y,,y,,,,,
age,screening_eng,,text,"<div class=""rich-text-field-label""><p>Your age (in years)</p></div>",,,number,18,35,,,y,,,,,
gender,screening_eng,,dropdown,"Your gender identity","1, female | 2, male | 3, diverse",,,,,,,y,,,,,
email,screening_eng,,text,"Your email",,"(please double-check if it's written correctly!)",email,,,y,,y,,,,,
intro,mctq_core_abb,,descriptive,"<div class=""rich-text-field-label""><h5>Your Chronotype</h5> <p><em>Munich ChronoType Questionnaire (abbreviated)</em></p> <p>In this questionnaire, you are asked to report your <em>typical sleep behaviour</em> over the <em>past 4 weeks</em>. We ask about<br />work days and work-free days separately. Please respond to the questions according to your perception<br />of a <em>standard week</em> that includes your usual work days and work-free days.</p></div>",,,,,,,,,,,,,
regular_work_schedule,mctq_core_abb,,yesno,"I have a regular work schedule (this includes being, for example, a housewife / -husband, or student):",,,,,,,,y,,,,,
workdays,mctq_core_abb,,radio,"I work on ... days per week","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7",,,,,,"[regular_work_schedule] = '1'",y,,,,,
descriptive_text_1,mctq_core_abb,,descriptive,"Please consider if your sleep times may nonetheless differ between regular 'workdays' and 'weekend days' and fill out the next questions in this respect.",,,,,,,"[workdays] = '7' or [regular_work_schedule] = '0'",,,,,,
sleep_cycle_pic,mctq_core_abb,,descriptive,,,,,,,,,,,,,,
descriptive_text_2,mctq_core_abb,,descriptive,"<div class=""rich-text-field-label""><p><em>Please use a 24-hour time scale (e.g. 23:00 instead of 11:00 pm)!</em></p></div>",,,,,,,,,,,,,
work_days_txt,mctq_core_abb,,descriptive,"<div class=""rich-text-field-label""><h5><span style=""text-decoration: underline;"">WORK DAYS</span></h5></div>",,,,,,,,,,,,,
bedtime_workdays,mctq_core_abb,,text,"Image 1: I  go to bed at ... o'clock.",,,time,,,,,y,,,,,
descriptive_text_3,mctq_core_abb,,descriptive,"Image 2: Note that some people stay awake for some time when in bed!",,,,,,,,,,,,,
get_ready_asleep_workdays,mctq_core_abb,,text,"Image 3: I actually get ready to fall asleep at ... o'clock. ",,,time,,,,,y,,,,,
time_fall_asleep_workdays,mctq_core_abb,,text,"Image 4: I need ... minutes to fall asleep.",,,number,0,,,,y,,,,,
wakeup_time_workdays,mctq_core_abb,,text,"Image 5: I wake up at ... o'clock.",,,time,,,,,y,,,,,
get_up_time_workdays,mctq_core_abb,,text,"Image 6: After... minutes I get up.",,,number,0,,,,y,,,,,
free_days_txt,mctq_core_abb,,descriptive,"<div class=""rich-text-field-label""><h5><span style=""text-decoration: underline;"">FREE DAYS</span></h5></div>",,,,,,,,,,,,,
bedtime_freedays,mctq_core_abb,,text,"Image 1: I  go to bed at ... o'clock.",,,time,,,,,y,,,,,
descriptive_text_4,mctq_core_abb,,descriptive,"Image 2: Note that some people stay awake for some time when in bed!",,,,,,,,,,,,,
get_ready_asleep_freedays,mctq_core_abb,,text,"Image 3: I actually get ready to fall asleep at ... o'clock. ",,,time,,,,,y,,,,,
time_fall_asleep_freedays,mctq_core_abb,,text,"Image 4: I need ... minutes to fall asleep.",,,number,0,,,,y,,,,,
wake_up_time_freedays,mctq_core_abb,,text,"Image 5: I wake up at ... o'clock.",,,time,,,,,y,,,,,
get_up_time_freedays,mctq_core_abb,,text,"Image 6: After... minutes I get up.",,,number,0,,,,y,,,,,
alarm_clock_freedays,mctq_core_abb,,yesno,"<div class=""rich-text-field-label""><p>My wake-up time <em>on free days</em> (Image 5) is due to the use of an alarm clock:</p></div>",,,,,,,,y,,,,,
volunteer_ger,screening_ger,,radio,"I have read the information above and consider volunteering for this study.","1, Yes, let's proceed with the questionnaire. | 2, No, I prefer not to take part.",,,,,,,y,,,,,
cutoff_age_ger,screening_ger,"<div class=""rich-text-field-label""><h5>Exclusion Criteria</h5> <p><span style=""font-weight: normal;"">You will be asked about some symptoms or disorders you may have experienced. Please answer honestly, so that we can ensure your well-being and safety during the course of this study. </span></p> <p><span style=""font-weight: normal;"">If you are not sure whether something you experienced counts as a symptom or disorder, please choose ""maybe"" and specify it.</span></p></div>",yesno,"<div class=""rich-text-field-label""><p>Are you between 18 and 35 years old?</p></div>",,,,,,,,y,,,,,
cutoff_colour_ger,screening_ger,,yesno,"Do you have any difficulty distinguishing between red and green, or between yellow and blue (colour-blindness)?",,,,,,,,y,,,,,
cutoff_neuro_ger,screening_ger,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">At any point in your life</span>, have you experienced any of the following:</p> <ul> <li>Uncontrolled shaking movements of your whole body or parts of it, with full or partial loss of consciousness (<em>Epilepsy</em>, <em>Seizures</em>)</li> <li>Pulsating headaches possibly accompanied by nausea, sensitivity to light / sound / smell, visual disturbances (<em>Migraine</em>)</li> <li>Surgery on your brain (e.g., to remove a brain tumor, to perform an implant...)</li> <li>Severe concussion</li> <li>Stroke</li> <li>Other neurological conditions</li> </ul></div>","1, Yes | 2, Maybe | 3, No",,,,,,,y,,,,,
cutoff_neuro_extra_ger,screening_ger,,text,"Please specify:",,,,,,,"[cutoff_neuro_ger] = '2'",y,,,,,
cutoff_sleep_ger,screening_ger,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">In the past year</span>, have you experienced any of these sleep disturbances? Or has anyone remarked that you do?</p> <ul> <li>Regular difficulty falling or staying asleep (<em>Insomnia</em>)</li> <li>Walking or carrying out complex activities during the night while not fully awake, without remembering them afterward (<em>Sleepwalking</em>)</li> <li>Involuntary habitual grinding of the teeth during sleep (<em>Bruxism</em>)</li> <li>Excessive daytime sleepiness with sudden muscle weakness (<em>Narcolepsy</em>)</li> <li>Unpleasant ""creeping"" sensation and pain in the lower legs that can be relieved by movement of the legs, such as walking or kicking (<em>Restless Legs Syndrome</em>)</li> <li>Periodically interrupted breathing during sleep that causes gasping or ""snorting"" noises, more than just snoring (<em>Sleep Apnoea</em>)</li> </ul></div>","1, Yes | 2, Maybe | 3, No",,,,,,,y,,,,,
cutoff_sleep_extra_ger,screening_ger,,text,"Please specify:",,,,,,,"[cutoff_sleep_ger] = '2'",y,,,,,
cutoff_psych_ger,screening_ger,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">In the past year</span>, have you experienced any of these psychiatric symptoms?</p> <ul> <li>Depressed mood</li> <li>Extreme mood swings</li> <li>Excessive fears or worries</li> <li>Hallucinations or paranoia</li> <li>Suicidal thoughts</li> <li>Other mental issues</li> </ul></div>","1, Yes | 2, Maybe | 3, No",,,,,,,y,,,,,
cutoff_psych_extra_ger,screening_ger,,text,"Please specify:",,,,,,,"[cutoff_psych_ger] = '2'",y,,,,,
cutoff_substances_ger,screening_ger,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">In the past year</span>, have you excessively used any of these substances?</p> <ul> <li>Alcohol <span style=""color: #7e8c8d;"">(drinking more than 5 beers or 10 shots on most weeks)</span></li> <li>Nicotine <span style=""color: #7e8c8d;"">(smoking more than 5 cigarettes on most days)</span></li> <li>Cannabis<span style=""color: #7e8c8d;""> (consuming on most days / negative consequences in daily life / withdrawal symptoms)</span></li> <li>Prescription drugs <span style=""color: #7e8c8d;"">(using in a higher quantity or for a longer time than prescribed by doctors / withdrawal symptoms)</span></li> <li>Other illicit drugs <span style=""color: #7e8c8d;"">(consumption of any illicit drug on most months)</span></li> </ul></div>","1, Yes | 2, Maybe | 3, No",,,,,,,y,,,,,
cutoff_substances_extra_ger,screening_ger,,text,"Please specify:",,,,,,,"[cutoff_substances_ger] = '2'",y,,,,,
exclusion_confirm_ger,screening_ger,,radio,"<div class=""rich-text-field-label""><p>Please double-check: Have you correctly chosen the options that apply to you?</p></div>","0, Yes",,,,,,"[cutoff_age_ger] = '0' or [cutoff_colour_ger] = '1' or [cutoff_neuro_ger] = '1' or [cutoff_sleep_ger] = '1' or [cutoff_psych_ger] = '1' or [cutoff_substances_ger] = '1'",y,,,,,
shift_work_ger,screening_ger,"<div class=""rich-text-field-label""><h5>Your Chronotype</h5> <p><span style=""font-weight: normal; color: #7e8c8d;""><em>Munich ChronoType Questionnaire (µMCTQ)</em> </span></p> <p><span style=""font-weight: normal;"">The following section will ask you questions in regards to your sleep and wake behaviour on work- and work-free days. Please estimate an average of your 'normal' sleep behaviour over the past 6 weeks.</span></p></div>",yesno,"I have been a shift- or night-worker in the past three months:",,,,,,,,y,,,,,
nr_workdays_ger,screening_ger,,dropdown,"Normally, I work ___ days / week:","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7",,,,,,,y,,,,,
desc_txt_ger,screening_ger,,descriptive,"Please answer all the following questions even if you do not work, or work 7 days / week.
Use the 24-hour format (e.g., 23:00 instead of 11 PM).",,,,,,,,,,,,,
fall_asleep_work_ger,screening_ger,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On workdays</span>, I normally fall asleep at:</p></div>",,"This is NOT when you get into bed, but rather when you fall asleep",time,,,,,y,,,,,
wake_up_work_ger,screening_ger,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On workdays</span>, I normally wake up at:</p></div>",,"This is NOT when you get out of bed, but rather when you wake up",time,,,,,y,,,,,
fall_asleep_free_ger,screening_ger,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On work-free days</span>, when I DON'T use an alarm clock, I normally fall asleep at:</p></div>",,"This is NOT when you get into bed, but rather when you fall asleep",time,,,,,y,,,,,
wake_up_free_ger,screening_ger,,text,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On work-free days</span>, when I DON'T use an alarm clock, I normally wake up at:</p></div>",,"This is NOT when you get out of bed, but rather when you wake up",time,,,,,y,,,,,
alarm_free_days_ger,screening_ger,,yesno,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">On MOST work-free days</span>, do you use an alarm clock?</p></div>",,,,,,,,y,,,,,
name_ger,screening_ger,"<div class=""rich-text-field-label""><h5>Thank you for your answers.</h5> <p><span style=""font-weight: normal;"">Based on the information you provided, we will check if you are eligible to participate.</span></p> <p><span style=""font-weight: normal;"">To be enrolled as a participant, please fill in:</span></p></div>",text,"Your full name",,,,,,y,,y,,,,,
age_ger,screening_ger,,text,"<div class=""rich-text-field-label""><p>Your age (in years)</p></div>",,,number,18,35,,,y,,,,,
gender_ger,screening_ger,,dropdown,"Your gender identity","1, female | 2, male | 3, diverse",,,,,,,y,,,,,
email_ger,screening_ger,,text,"Your email",,"(please double-check if it's written correctly!)",email,,,y,,y,,,,,
